priority_profile,prioridad,a816,prioridad_garantizada,a811,num_prio,num_vul,tramo
6247,1,1,1,1,2,4,101
6246,1,1,1,1,2,3,0
6245,1,1,1,1,2,3,40
6244,1,1,1,1,2,3,50
6243,1,1,1,1,2,3,60
6242,1,1,1,1,2,3,70
6241,1,1,1,1,2,3,80
6240,1,1,1,1,2,3,90
6239,1,1,1,1,2,3,100
6238,1,1,1,1,2,3,101
6237,1,1,1,1,2,2,0
6236,1,1,1,1,2,2,40
6235,1,1,1,1,2,2,50
6234,1,1,1,1,2,2,60
6233,1,1,1,1,2,2,70
6232,1,1,1,1,2,2,80
6231,1,1,1,1,2,2,90
6230,1,1,1,1,2,2,100
6229,1,1,1,1,2,2,101
6228,1,1,1,1,2,1,0
6227,1,1,1,1,2,1,40
6226,1,1,1,1,2,1,50
6225,1,1,1,1,2,1,60
6224,1,1,1,1,2,1,70
6223,1,1,1,1,2,1,80
6222,1,1,1,1,2,1,90
6221,1,1,1,1,2,1,100
6220,1,1,1,1,2,1,101
6219,1,1,1,1,2,0,0
6218,1,1,1,1,2,0,40
6217,1,1,1,1,2,0,50
6216,1,1,1,1,2,0,60
6215,1,1,1,1,2,0,70
6214,1,1,1,1,2,0,80
6213,1,1,1,1,2,0,90
6212,1,1,1,1,2,0,100
6211,1,1,1,1,2,0,101
6210,1,1,1,1,1,9,0
6209,1,1,1,1,1,9,40
6208,1,1,1,1,1,9,50
6207,1,1,1,1,1,9,60
6206,1,1,1,1,1,9,70
6205,1,1,1,1,1,9,80
6204,1,1,1,1,1,9,90
6203,1,1,1,1,1,9,100
6202,1,1,1,1,1,9,101
6201,1,1,1,1,1,8,0
6200,1,1,1,1,1,8,40
6199,1,1,1,1,1,8,50
6198,1,1,1,1,1,8,60
6197,1,1,1,1,1,8,70
6196,1,1,1,1,1,8,80
6195,1,1,1,1,1,8,90
6194,1,1,1,1,1,8,100
6193,1,1,1,1,1,8,101
6192,1,1,1,1,1,7,0
6191,1,1,1,1,1,7,40
6190,1,1,1,1,1,7,50
6189,1,1,1,1,1,7,60
6188,1,1,1,1,1,7,70
6187,1,1,1,1,1,7,80
6186,1,1,1,1,1,7,90
6185,1,1,1,1,1,7,100
6184,1,1,1,1,1,7,101
6183,1,1,1,1,1,6,0
6182,1,1,1,1,1,6,40
6181,1,1,1,1,1,6,50
6180,1,1,1,1,1,6,60
6179,1,1,1,1,1,6,70
6178,1,1,1,1,1,6,80
6177,1,1,1,1,1,6,90
6176,1,1,1,1,1,6,100
6175,1,1,1,1,1,6,101
6174,1,1,1,1,1,5,0
6173,1,1,1,1,1,5,40
6172,1,1,1,1,1,5,50
6171,1,1,1,1,1,5,60
6170,1,1,1,1,1,5,70
6169,1,1,1,1,1,5,80
6168,1,1,1,1,1,5,90
6167,1,1,1,1,1,5,100
6166,1,1,1,1,1,5,101
6165,1,1,1,1,1,4,0
6164,1,1,1,1,1,4,40
6163,1,1,1,1,1,4,50
6162,1,1,1,1,1,4,60
6161,1,1,1,1,1,4,70
6160,1,1,1,1,1,4,80
6159,1,1,1,1,1,4,90
6158,1,1,1,1,1,4,100
6157,1,1,1,1,1,4,101
6156,1,1,1,1,1,3,0
6155,1,1,1,1,1,3,40
6154,1,1,1,1,1,3,50
6153,1,1,1,1,1,3,60
6152,1,1,1,1,1,3,70
6151,1,1,1,1,1,3,80
6150,1,1,1,1,1,3,90
6149,1,1,1,1,1,3,100
6148,1,1,1,1,1,3,101
6147,1,1,1,1,1,2,0
6146,1,1,1,1,1,2,40
6145,1,1,1,1,1,2,50
6144,1,1,1,1,1,2,60
6143,1,1,1,1,1,2,70
6142,1,1,1,1,1,2,80
6141,1,1,1,1,1,2,90
6140,1,1,1,1,1,2,100
6139,1,1,1,1,1,2,101
6138,1,1,1,1,1,1,0
6137,1,1,1,1,1,1,40
6136,1,1,1,1,1,1,50
6135,1,1,1,1,1,1,60
6134,1,1,1,1,1,1,70
6133,1,1,1,1,1,1,80
6132,1,1,1,1,1,1,90
6131,1,1,1,1,1,1,100
6130,1,1,1,1,1,1,101
6129,1,1,1,1,1,0,0
6128,1,1,1,1,1,0,40
6127,1,1,1,1,1,0,50
6126,1,1,1,1,1,0,60
6125,1,1,1,1,1,0,70
6124,1,1,1,1,1,0,80
6123,1,1,1,1,1,0,90
6122,1,1,1,1,1,0,100
6121,1,1,1,1,1,0,101
6120,1,1,1,1,0,9,0
6119,1,1,1,1,0,9,40
6118,1,1,1,1,0,9,50
6117,1,1,1,1,0,9,60
6116,1,1,1,1,0,9,70
6115,1,1,1,1,0,9,80
6114,1,1,1,1,0,9,90
6113,1,1,1,1,0,9,100
6112,1,1,1,1,0,9,101
6111,1,1,1,1,0,8,0
6110,1,1,1,1,0,8,40
6109,1,1,1,1,0,8,50
6108,1,1,1,1,0,8,60
6107,1,1,1,1,0,8,70
6106,1,1,1,1,0,8,80
6105,1,1,1,1,0,8,90
6104,1,1,1,1,0,8,100
6103,1,1,1,1,0,8,101
6102,1,1,1,1,0,7,0
6101,1,1,1,1,0,7,40
6100,1,1,1,1,0,7,50
6099,1,1,1,1,0,7,60
6098,1,1,1,1,0,7,70
6097,1,1,1,1,0,7,80
6096,1,1,1,1,0,7,90
6095,1,1,1,1,0,7,100
6094,1,1,1,1,0,7,101
6093,1,1,1,1,0,6,0
6092,1,1,1,1,0,6,40
6091,1,1,1,1,0,6,50
6090,1,1,1,1,0,6,60
6089,1,1,1,1,0,6,70
6088,1,1,1,1,0,6,80
6087,1,1,1,1,0,6,90
6086,1,1,1,1,0,6,100
6085,1,1,1,1,0,6,101
6084,1,1,1,1,0,5,0
6083,1,1,1,1,0,5,40
6082,1,1,1,1,0,5,50
6081,1,1,1,1,0,5,60
6080,1,1,1,1,0,5,70
6079,1,1,1,1,0,5,80
6078,1,1,1,1,0,5,90
6077,1,1,1,1,0,5,100
6076,1,1,1,1,0,5,101
6075,1,1,1,1,0,4,0
6074,1,1,1,1,0,4,40
6073,1,1,1,1,0,4,50
6072,1,1,1,1,0,4,60
6071,1,1,1,1,0,4,70
6070,1,1,1,1,0,4,80
6069,1,1,1,1,0,4,90
6068,1,1,1,1,0,4,100
6067,1,1,1,1,0,4,101
6066,1,1,1,1,0,3,0
6065,1,1,1,1,0,3,40
6064,1,1,1,1,0,3,50
6063,1,1,1,1,0,3,60
6062,1,1,1,1,0,3,70
6061,1,1,1,1,0,3,80
6060,1,1,1,1,0,3,90
6059,1,1,1,1,0,3,100
6058,1,1,1,1,0,3,101
6057,1,1,1,1,0,2,0
6056,1,1,1,1,0,2,40
6055,1,1,1,1,0,2,50
6054,1,1,1,1,0,2,60
6053,1,1,1,1,0,2,70
6052,1,1,1,1,0,2,80
6051,1,1,1,1,0,2,90
6050,1,1,1,1,0,2,100
6049,1,1,1,1,0,2,101
6048,1,1,1,1,0,1,0
6047,1,1,1,1,0,1,40
6046,1,1,1,1,0,1,50
6045,1,1,1,1,0,1,60
6044,1,1,1,1,0,1,70
6043,1,1,1,1,0,1,80
6042,1,1,1,1,0,1,90
6041,1,1,1,1,0,1,100
6040,1,1,1,1,0,1,101
6039,1,1,1,1,0,0,0
6038,1,1,1,1,0,0,40
6037,1,1,1,1,0,0,50
6036,1,1,1,1,0,0,60
6035,1,1,1,1,0,0,70
6034,1,1,1,1,0,0,80
6033,1,1,1,1,0,0,90
6032,1,1,1,1,0,0,100
6031,1,1,1,1,0,0,101
6030,1,1,1,0,8,9,0
