iter,applicant_id,program_id,quota_id,ranking,score
1,27384447,1977,1,1,26063.18276
1,27384748,1768,1,1,29447.61024
1,27385802,4233,1,1,26035.53559
1,27385826,4037,1,1,26036.5423
1,27386103,3783,1,1,26027.19196
1,27386523,7737,1,1,26117.3053
1,27387146,2748,1,1,26018.17257
1,27387928,5607,1,1,26027.58131
1,27388809,3805,1,1,26043.00638
1,27389204,2312,1,1,26018.03174
1,27389730,4428,1,1,26045.17983
1,27389847,227,1,1,26126.31621
1,27390215,385,1,1,26027.61163
1,27390352,6715,1,1,26036.54302
1,27390550,618,1,1,26036.02118
1,27390789,7324,1,1,26036.50343
1,27392295,227,1,1,26125.27552
1,27392569,2748,1,1,26018.2445
1,27393252,7200,1,1,40.67576
1,27393662,54,1,1,26045.10382
1,27394037,6649,1,1,26036.0279
1,27394232,5991,1,1,26027.22893
1,27395786,3671,1,1,26036.66385
1,27396030,7234,1,1,13.40512
1,27396148,5257,1,1,26035.18004
1,27396359,5977,1,1,26036.26921
1,27396630,3963,1,1,26036.07472
1,27398007,5208,1,1,26027.48187
1,27398545,227,1,1,26053.46634
1,27399227,6196,1,1,26026.33314
1,27400570,1672,1,1,26027.60823
1,27401378,152,1,1,26054.58672
1,27401469,4864,1,1,26036.11872
1,27401481,2748,1,1,27737.00582
1,27401518,4447,1,1,26036.57931
1,27401534,2044,1,1,26029.47258
1,27401562,3248,1,1,26036.6342
1,27401565,179,1,1,29341.54109
1,27401570,6070,1,1,1.21094
1,27401573,154,1,1,26054.57901
1,27401590,4957,1,1,26045.35977
1,27401608,4734,1,1,26027.27674
1,27401612,283,1,1,26036.36036
1,27401677,4836,1,1,26027.17279
1,27401703,5316,1,1,31.03647
1,27401739,4188,1,1,32.11447
1,27401744,7366,1,1,23.14612
1,27401811,6824,1,1,26035.2435
1,27401818,283,1,1,26011.00007
1,27401841,1450,1,1,26027.0999
1,27402999,3697,1,1,26027.31181
1,27403234,6714,1,1,26036.42631
1,27403344,3672,1,1,26036.50588
1,27404341,276,1,1,6488.13758
1,27404350,3758,1,1,26045.27021
1,27406783,5673,1,1,26018.17015
1,27406963,3577,1,1,26054.24612
1,27407089,2866,1,1,26043.5861
1,27407419,3915,1,1,26027.23061
1,27408115,2489,1,1,26018.64277
1,27408347,1673,1,1,10.28726
1,27408690,5270,1,1,26027.31561
1,27410051,5804,1,1,26036.64515
1,27410457,7175,1,1,26018.46578
1,27411565,3226,1,1,26018.20774
1,27412185,7361,1,1,26036.05978
1,27412219,7545,1,1,26034.30435
1,27414147,4872,1,1,26045.59355
1,27414612,4577,1,1,26036.40671
1,27417262,1294,1,1,26027.49538
1,27417387,1893,1,1,27728.45143
1,27418418,3697,1,1,26027.46037
1,27419297,1021,1,1,26018.66967
1,27419867,3063,1,1,26036.58395
1,27421740,3940,1,1,26063.60675
1,27424123,7490,1,1,26036.45551
1,27426275,6764,1,1,26027.51176
